Inputs,in[0],in[1],in[2],in[3],in[4],out[0],out[1]
00000,0,0,0,0,0,0,0
00001,1,0,0,0,0,1,0
00010,0,1,0,0,0,1,0
00011,1,1,0,0,0,0,0
00100,0,0,1,0,0,0,0
00101,1,0,1,0,0,1,0
00110,0,1,1,0,0,1,0
00111,1,1,1,0,0,0,0
01000,0,0,0,1,0,0,0
01001,1,0,0,1,0,1,0
01010,0,1,0,1,0,1,0
01011,1,1,0,1,0,0,0
01100,0,0,1,1,0,0,0
01101,1,0,1,1,0,1,0
01110,0,1,1,1,0,1,0
01111,1,1,1,1,0,0,0
10000,0,0,0,0,1,0,0
10001,1,0,0,0,1,1,1
10010,0,1,0,0,1,1,0
10011,1,1,0,0,1,0,1
10100,0,0,1,0,1,1,0
10101,1,0,1,0,1,0,1
10110,0,1,1,0,1,0,0
10111,1,1,1,0,1,1,1
11000,0,0,0,1,1,1,0
11001,1,0,0,1,1,0,1
11010,0,1,0,1,1,0,0
11011,1,1,0,1,1,1,1
11100,0,0,1,1,1,0,0
11101,1,0,1,1,1,1,1
11110,0,1,1,1,1,1,0
11111,1,1,1,1,1,0,1
